epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.266,0.9018,3.64295,1.03624,0.01724,0.80339,0.16016,0.14239,0.5928,3.81093,0.89737,0.00018228,0.00018228,0.00018228
2,934.044,0.73859,2.59018,0.99935,0.72551,0.20471,0.33097,0.29448,0.56148,2.86351,0.91332,0.000366773,0.000366773,0.000366773
3,1197.08,0.64633,2.11144,0.95757,0.35001,0.5404,0.3841,0.31738,0.55011,2.08362,0.91183,0.00054754,0.00054754,0.00054754
4,1376,0.63424,1.95289,0.94867,0.3531,0.7095,0.39373,0.33799,0.49499,1.80614,0.91407,0.000570536,0.000570536,0.000570536
5,1549.92,0.58678,1.84391,0.93781,0.36139,0.72102,0.39753,0.34041,0.46709,1.72661,0.91103,0.000564715,0.000564715,0.000564715
6,1716.64,0.52816,1.77981,0.91999,0.27186,0.61095,0.3924,0.33996,0.48063,1.76023,0.90067,0.000558894,0.000558894,0.000558894
7,1887.45,0.54291,1.74007,0.93303,0.32945,0.60332,0.41134,0.35511,0.43525,1.73213,0.89044,0.000553073,0.000553073,0.000553073
8,2080.31,0.51584,1.72389,0.91745,0.30287,0.60086,0.42946,0.36144,0.42957,1.70268,0.88014,0.000547252,0.000547252,0.000547252
9,2347.99,0.53196,1.69806,0.92969,0.36043,0.77672,0.41796,0.36152,0.40281,1.62659,0.88357,0.00054143,0.00054143,0.00054143
10,2549.59,0.48628,1.68427,0.90607,0.36385,0.81754,0.43203,0.36646,0.41612,1.52884,0.88089,0.000535609,0.000535609,0.000535609
11,2746.18,0.48112,1.64104,0.91673,0.35961,0.83998,0.41471,0.36725,0.40017,1.51555,0.89434,0.000529788,0.000529788,0.000529788
12,2951.58,0.47603,1.62804,0.90632,0.36283,0.76272,0.43196,0.37681,0.3995,1.54733,0.89601,0.000523967,0.000523967,0.000523967
13,3129.48,0.47075,1.60488,0.89956,0.3634,0.79973,0.42923,0.38056,0.38353,1.4949,0.88595,0.000518146,0.000518146,0.000518146
14,3318.68,0.4687,1.58417,0.90817,0.32634,0.82436,0.40933,0.36727,0.39688,1.50517,0.88314,0.000512324,0.000512324,0.000512324
15,3559.71,0.48613,1.55503,0.91435,0.3778,0.79425,0.44195,0.37212,0.39147,1.44824,0.87518,0.000506503,0.000506503,0.000506503
16,3787.96,0.45102,1.54589,0.90217,0.38504,0.81077,0.42368,0.36915,0.38255,1.46979,0.88231,0.000500682,0.000500682,0.000500682
