epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.778,1.00611,2.51463,1.21378,0.06536,0.67097,0.25596,0.20309,0.62226,3.12119,0.99561,0.00022134,0.00022134,0.00022134
2,482.787,0.71833,1.25405,1.0542,0.37774,0.47661,0.3778,0.29997,0.69679,1.90115,1.00604,0.000445367,0.000445367,0.000445367
3,793.257,0.64074,1.03463,1.01167,0.37368,0.59241,0.35917,0.27115,0.67401,1.48846,0.99878,0.00066487,0.00066487,0.00066487
4,1060.03,0.59669,0.93702,0.97688,0.41847,0.64181,0.43921,0.33313,0.47626,1.08914,0.9096,0.000692794,0.000692794,0.000692794
5,1261.78,0.54249,0.87676,0.95977,0.444,0.61081,0.46781,0.36215,0.45474,0.98029,0.89903,0.000685726,0.000685726,0.000685726
6,1487.92,0.51771,0.80512,0.95069,0.4312,0.69373,0.46474,0.36692,0.38255,0.78336,0.86911,0.000678657,0.000678657,0.000678657
7,1747.12,0.50428,0.78989,0.94501,0.45718,0.70535,0.5249,0.39562,0.37701,0.71236,0.85786,0.000671588,0.000671588,0.000671588
8,1994.73,0.48919,0.76999,0.93787,0.50044,0.67112,0.57683,0.44374,0.37233,0.73263,0.86396,0.00066452,0.00066452,0.00066452
9,2242.5,0.46223,0.71945,0.91647,0.5552,0.72104,0.58039,0.44597,0.38514,0.6857,0.85745,0.000657451,0.000657451,0.000657451
10,2489.42,0.46341,0.7082,0.92137,0.59271,0.70291,0.63267,0.48233,0.34318,0.67809,0.85087,0.000650383,0.000650383,0.000650383
11,2735.55,0.43534,0.66843,0.92005,0.52944,0.73954,0.61419,0.49304,0.34289,0.63876,0.84903,0.000643314,0.000643314,0.000643314
12,2981.53,0.44407,0.66145,0.91553,0.58911,0.64787,0.62148,0.48497,0.32137,0.60927,0.84934,0.000636245,0.000636245,0.000636245
13,3222.3,0.42542,0.63747,0.90907,0.61117,0.73466,0.69484,0.53047,0.31586,0.57816,0.83905,0.000629177,0.000629177,0.000629177
14,3458.48,0.42508,0.62784,0.9111,0.62908,0.7146,0.68213,0.53258,0.32358,0.55769,0.83556,0.000622108,0.000622108,0.000622108
15,3698.29,0.42582,0.6112,0.91014,0.62992,0.74597,0.68235,0.54558,0.29008,0.53906,0.83349,0.00061504,0.00061504,0.00061504
16,3907.86,0.42067,0.62115,0.90993,0.65938,0.71653,0.68006,0.54191,0.30194,0.5326,0.84449,0.000607971,0.000607971,0.000607971
17,4139.94,0.4028,0.58328,0.89828,0.54116,0.68656,0.65935,0.53142,0.29324,0.53709,0.83853,0.000600902,0.000600902,0.000600902
18,4383.64,0.39994,0.56434,0.89702,0.70936,0.67363,0.72908,0.58934,0.32015,0.54843,0.83555,0.000593834,0.000593834,0.000593834
19,4679.01,0.38694,0.56507,0.89384,0.73267,0.65128,0.71402,0.56723,0.28058,0.4965,0.83182,0.000586765,0.000586765,0.000586765
20,4925.26,0.39748,0.55477,0.89864,0.64102,0.80208,0.70939,0.58654,0.28619,0.49141,0.82193,0.000579697,0.000579697,0.000579697
21,5183.45,0.39289,0.54375,0.8895,0.71475,0.72969,0.75472,0.6279,0.26423,0.4551,0.81721,0.000572628,0.000572628,0.000572628
